Date,time,title,segment,pred,neg,pos,neu,Index_Change,Percent_Change,Direction_Change,Open,Highest,Lowest,Closed,AVG,Adjusted_Closed,Volume,Company_Code
7/12/2022,7:40,Thêm ngân hàng giảm lãi suất cho khách hàng vay kinh doanh,thêm ngân_hàng giảm lãi_suất cho khách_hàng vay kinh_doanh,2,0.031923544,0.21586269,0.7522138,4.6,6.91%,+,69.2,71.2,68.5,71.2,70.62,71.2,9421500,VIC
6/12/2022,13:36,VIB: Phiếu lấy ý kiến cổ đông bằng văn bản,vib : phiếu lấy ý_kiến cổ_đông bằng văn_bản,2,0.06734054,0.044149548,0.8885099,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
6/12/2022,13:36,"VIB: Đề cử, ứng cử HĐQT, BKS","vib : đề_cử , ứng_cử hđqt , bks",2,0.04558694,0.052211203,0.9022019,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
5/12/2022,13:48,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 144.200 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 144.200 cp,0,0.98201203,0.004339589,0.013648418,-0.7,-1.02%,-,68.8,70,68,68.1,68.93,68.1,2301900,VIC
9/11/2022,17:04,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 60.000 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 60.000 cp,0,0.9829149,0.004229626,0.01285551,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
9/11/2022,17:03,VIB: Công văn của NHNN v/v chấp thuận cho VIB thay đổi tên và địa điểm Chi nhánh Đồng Tháp,vib : công_văn của nhnn v / v chấp_thuận cho vib thay_đổi tên và địa_điểm chi_nhánh đồng_tháp,2,0.13376972,0.04365604,0.82257426,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
9/11/2022,13:51,"VIB: Trích Nghị quyết HĐQT về ngày ĐKCC chốt DSCĐ để thực hiện quyền ứng cử, đề cử nhân sự","vib : trích_nghị quyết hđqt về ngày đkcc chốt dscđ để thực_hiện quyền ứng_cử , đề_cử nhân_sự",2,0.13937476,0.057531413,0.8030938,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
7/11/2022,13:30,VIB nhận giải ngân khoản vay 150 triệu USD từ IFC,vib nhận giải_ngân khoản vay 150 triệu usd từ ifc,2,0.041345764,0.09446806,0.8641862,-0.9,-1.66%,-,54,54,51.7,53.4,53.02,53.4,1702500,VIC
4/11/2022,8:28,VIB và Lazada tặng loạt ưu đãi tiền triệu cho người dùng,vib và lazada tặng loạt ưu_đãi tiền triệu cho người dùng,1,0.005020553,0.97430634,0.020673094,-0.8,-1.45%,-,54.9,54.9,52.1,54.3,53.46,54.3,1617900,VIC
3/11/2022,17:28,VIB: Con ông Đỗ Xuân Hoàng - TV.HĐQT đã mua 4.000.000 cp,vib : con ông đỗ_xuân_hoàng - tv.hđqt đã mua 4.000.000 cp,2,0.03098523,0.39836508,0.5706496,-0.3,-0.54%,-,54.4,55.1,54.3,55.1,54.76,55.1,909700,VIC
3/11/2022,17:26,VIB: Bố ông Đỗ Xuân Hoàng - TV.HĐQT đã bán 4.000.000 cp,vib : bố ông đỗ_xuân_hoàng - tv.hđqt đã bán 4.000.000 cp,0,0.5993227,0.18097611,0.21970125,-0.3,-0.54%,-,54.4,55.1,54.3,55.1,54.76,55.1,909700,VIC
11/10/2022,8:00,VIB công bố KQKD 9 tháng năm 2022: Hiệu quả và an toàn vượt trội,vib công_bố kqkd 9 tháng năm 2022 : hiệu_quả và an_toàn vượt_trội,1,0.002006171,0.9919097,0.006084165,-0.2,-0.33%,-,58.3,60.1,56.7,60,58.83,60,4356800,VIC
7/10/2022,15:48,"VIB: 19.10.2022, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản","vib : 19.10.2022 , ngày gdkhq lấy ý_kiến cổ_đông bằng văn_bản",2,0.07495203,0.047341432,0.8777065,0.1,0.17%,+,60.5,60.7,58.3,60.2,60,60.2,2987900,VIC
