date,title,description,stock_group
2023-01-18,Người dùng chuộng thanh toán online,"Nhiều người chọn mua sắm, thanh toán với thẻ tín dụng VIB để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB
2023-01-23,Thẻ tín dụng VIB Travel Elite nhiều ưu đãi dịp Tết,"Thẻ VIB Travel Elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB
2023-01-13,Vietnam International CommercialBank : Payment instruction for Deposit book having due date during Tet holiday 2023,"(marketscreener.com) 
 
 Vietnam International Commercial Joint Stock Bank would like to inform you that all Deposit book opened at VIB's Branch/ Transaction Office and has a due date during Lunar New Year 2023, from January 20, 2023 to January 26, 2023, will…",VIB
2023-01-12,VN-Index continues sideways - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.06% to 1,056.39 points Thursday, having gone sideways since January 3.",VIB
2023-01-12,Nhiều hoạt động tương tác và quà tặng tại MoMo Lắc Xì 2023,"Thông qua Lắc Xì 2023 với nhiều quà tặng giá trị, MoMo mong muốn mang Tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB
2023-02-07,Bustling M&A deals in banking industry at year beginning,"Right from the beginning of 2023, many banks have announced their plans for merge and acquisition (M&A) deals and capital increase.",VIB
2023-02-05,Banks plan to pay cash dividends for first time in three years,Some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB
2023-01-18,Người dùng chuộng thanh toán online,"Nhiều người chọn mua sắm, thanh toán với thẻ tín dụng VIB để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB
2023-01-23,Thẻ tín dụng VIB Travel Elite nhiều ưu đãi dịp Tết,"Thẻ VIB Travel Elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB
2023-01-13,Vietnam International CommercialBank : Payment instruction for Deposit book having due date during Tet holiday 2023,"(marketscreener.com) 
 
 Vietnam International Commercial Joint Stock Bank would like to inform you that all Deposit book opened at VIB's Branch/ Transaction Office and has a due date during Lunar New Year 2023, from January 20, 2023 to January 26, 2023, will…",VIB
2023-01-12,VN-Index continues sideways - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.06% to 1,056.39 points Thursday, having gone sideways since January 3.",VIB
2023-01-12,Nhiều hoạt động tương tác và quà tặng tại MoMo Lắc Xì 2023,"Thông qua Lắc Xì 2023 với nhiều quà tặng giá trị, MoMo mong muốn mang Tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB
2023-02-07,Bustling M&A deals in banking industry at year beginning,"Right from the beginning of 2023, many banks have announced their plans for merge and acquisition (M&A) deals and capital increase.",VIB
2023-02-05,Banks plan to pay cash dividends for first time in three years,Some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB
2023-01-26,Dollar drops on black market - VnExpress International,The U.S. dollar dropped slightly against the dong on the black market on Thursday morning.,ACB
2023-01-23,Dollar continues to rise on black market - VnExpress International,The U.S. dollar gained marginally against the Vietnamese dong Monday morning.,ACB
2023-01-13,Dollar slips on black market - VnExpress International,The U.S. dollar fell marginally on the black market but remained stable at banks on Friday afternoon.,ACB
2023-01-12,VN-Index continues sideways - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.06% to 1,056.39 points Thursday, having gone sideways since January 3.",ACB
2023-01-16,VN-Index hits 6-week high - VnExpress International,"Vietnam’s benchmark VN-Index rose 0.61% to 1066.68 points Monday, highest since December 5.",ACB
2023-01-20,Dollar increases slightly on black market - VnExpress International,The U.S. dollar rose slightly against the Vietnamese dong on the black market Friday morning.,ACB
2023-01-11,Dollar gains on black market - VnExpress International,The U.S. dollar surged against the Vietnamese dong Wednesday afternoon on the black market.,ACB
2023-01-28,Dollar declines on black market - VnExpress International,"The U.S. dollar dropped 0.04% to VND23,540 at unofficial exchange points Saturday morning.",ACB
2023-02-02,Dollar inches up against dong - VnExpress International,The U.S. dollar gained marginally against the Vietnamese dong on the black market Thursday afternoon.,ACB
2023-02-09,"Sun Life Financial, Inc. (SLF) Q4 2022 Earnings Call Transcript","Sun Life Financial, Inc. (NYSE:NYSE:SLF) Q4 2022 Earnings Conference Call February 9, 2023 10:00 AM ETCompany ParticipantsYaniv Bitton - VP, Head of IR & Capital MarketsKevin Strain -...",ACB
2023-02-07,Bustling M&A deals in banking industry at year beginning,"Right from the beginning of 2023, many banks have announced their plans for merge and acquisition (M&A) deals and capital increase.",ACB
2023-02-05,Banks plan to pay cash dividends for first time in three years,Some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,ACB
2023-01-18,Người dùng chuộng thanh toán online,"Nhiều người chọn mua sắm, thanh toán với thẻ tín dụng VIB để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB
2023-01-23,Thẻ tín dụng VIB Travel Elite nhiều ưu đãi dịp Tết,"Thẻ VIB Travel Elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB
2023-01-13,Vietnam International CommercialBank : Payment instruction for Deposit book having due date during Tet holiday 2023,"(marketscreener.com) 
 
 Vietnam International Commercial Joint Stock Bank would like to inform you that all Deposit book opened at VIB's Branch/ Transaction Office and has a due date during Lunar New Year 2023, from January 20, 2023 to January 26, 2023, will…",VIB
