STT,Mã CK,Sàn,Ngày GDKHQ▼,Ngày ĐKCC,Ngày thực hiện,Tỷ lệ,Nội dung sự kiện
1,TLH,HOSE,18/01/2023,19/01/2023,10/02/2023,5%,"Trả cổ tức năm 2021 bằng tiền, 500 đồng/CP"
2,PAC,HOSE,18/01/2023,19/01/2023,14/02/2023,10%,"Trả cổ tức đợt 1/2022 bằng tiền, 1,000 đồng/CP"
3,HCM,HOSE,17/01/2023,18/01/2023,08/02/2023,2.5%,"Trả cổ tức đợt 2/2021 bằng tiền, 250 đồng/CP"
4,BFC,HOSE,17/01/2023,18/01/2023,10/02/2023,6%,"Trả cổ tức đợt 1/2022 bằng tiền, 600 đồng/CP"
5,HCM,HOSE,17/01/2023,18/01/2023,08/02/2023,2.5%,"Trả cổ tức đợt 1/2022 bằng tiền, 250 đồng/CP"
6,HVT,HNX,17/01/2023,18/01/2023,14/02/2023,15%,"Trả cổ tức năm 2022 bằng tiền, 1,500 đồng/CP"
7,L18,HNX,13/01/2023,16/01/2023,20/02/2023,8%,"Trả cổ tức năm 2021 bằng tiền, 800 đồng/CP"
8,DDV,UPCoM,13/01/2023,16/01/2023,10/02/2023,5%,"Trả cổ tức năm 2022 bằng tiền, 500 đồng/CP"
9,PCC,UPCoM,12/01/2023,13/01/2023,07/02/2023,10%,"Trả cổ tức năm 2021 bằng tiền, 1,000 đồng/CP"
10,VRG,UPCoM,12/01/2023,13/01/2023,19/01/2023,16%,"Trả cổ tức năm 2022 bằng tiền, 1,600 đồng/CP"
11,VWS,UPCoM,12/01/2023,13/01/2023,19/01/2023,4%,"Trả cổ tức năm 2022 bằng tiền, 400 đồng/CP"
12,DRC,HOSE,11/01/2023,12/01/2023,10/02/2023,5%,"Trả cổ tức năm 2022 bằng tiền, 500 đồng/CP"
13,DPH,UPCoM,11/01/2023,12/01/2023,09/02/2023,15%,"Trả cổ tức năm 2022 bằng tiền, 1,500 đồng/CP"
14,LIX,HOSE,10/01/2023,11/01/2023,14/02/2023,15%,"Trả cổ tức năm 2022 bằng tiền, 1,500 đồng/CP"
15,TNG,HNX,09/01/2023,10/01/2023,17/01/2023,4%,"Trả cổ tức đợt 2/2022 bằng tiền, 400 đồng/CP"
16,PNJ,HOSE,06/01/2023,09/01/2023,30/01/2023,6%,"Trả cổ tức đợt 1/2022 bằng tiền, 600 đồng/CP"
