,date,title,description,stock_group,combine,full_labels
0,18/01/2023,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.","nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",2
1,23/01/2023,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.","thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",3
2,13/01/2023,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…","(marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",VIB,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",2
3,12/01/2023,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.","vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",VIB,"vn-index continues sideways - vnexpress international vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3. vietnam’s benchmark vn-index rose 0.06% to 1,056.39 points thursday, having gone sideways since january 3.",3
4,12/01/2023,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.","thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",VIB,"nhiều hoạt động tương tác và quà tặng tại momo lắc xì 2023 thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động. thông qua lắc xì 2023 với nhiều quà tặng giá trị, momo mong muốn mang tết đầm ấm, đủ đầy, gắn kết mọi người sau một năm nhiều biến động.",2
5,07/02/2023,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.","right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",VIB,"bustling m&a deals in banking industry at year beginning right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase. right from the beginning of 2023, many banks have announced their plans for merge and acquisition (m&a) deals and capital increase.",2
6,05/02/2023,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,VIB,banks plan to pay cash dividends for first time in three years some banks have announced plans to pay cash dividends to shareholders for the first time in three years. some banks have announced plans to pay cash dividends to shareholders for the first time in three years.,3
7,18/01/2023,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.","nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",VIB,"người dùng chuộng thanh toán online nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng. nhiều người chọn mua sắm, thanh toán với thẻ tín dụng vib để hưởng bộ ba ưu đãi từ sàn thương mại điện tử, gian hàng và nhà băng.",2
8,23/01/2023,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.","thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",VIB,"thẻ tín dụng vib travel elite nhiều ưu đãi dịp tết thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày. thẻ vib travel elite giúp tích lũy dặm thưởng, đặc quyền phòng chờ thương gia với ưu đãi đến 40%, hoàn 999.000 đồng cho giao dịch sớm nhất mỗi ngày.",3
9,13/01/2023,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…","(marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",VIB,"vietnam international commercialbank : payment instruction for deposit book having due date during tet holiday 2023 (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will… (marketscreener.com) 
 
 vietnam international commercial joint stock bank would like to inform you that all deposit book opened at vib's branch/ transaction office and has a due date during lunar new year 2023, from january 20, 2023 to january 26, 2023, will…",2
